match_id,season,match_date,venue,city,team_raw,team,opponent_raw,opponent,innings,batting_first,toss_winner,toss_decision,winner,won_match,total_runs,wickets_lost,valid_balls,boundary_runs,fours,sixes,dot_balls,extras,wide_runs,no_ball_runs,powerplay_runs,powerplay_wickets,powerplay_valid_balls,powerplay_dot_balls,powerplay_boundary_runs,powerplay_fours,powerplay_sixes,middle_runs,middle_wickets,middle_valid_balls,middle_dot_balls,middle_boundary_runs,middle_fours,middle_sixes,death_runs,death_wickets,death_valid_balls,death_dot_balls,death_boundary_runs,death_fours,death_sixes,runs_conceded,wickets_taken,balls_bowled,powerplay_runs_conceded,powerplay_balls_bowled,powerplay_wickets_taken,powerplay_dot_balls_forced,powerplay_boundary_runs_conceded,middle_runs_conceded,middle_balls_bowled,middle_wickets_taken,middle_dot_balls_forced,middle_boundary_runs_conceded,death_runs_conceded,death_balls_bowled,death_wickets_taken,death_dot_balls_forced,death_boundary_runs_conceded
335982,2008,2008-04-18,M Chinnaswamy Stadium,Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bengaluru,1,true,Royal Challengers Bengaluru,field,Kolkata Knight Riders,true,222,3,120,144,15,14,36,17,9,0,61,1,36,17,46,7,3,93,1,54,12,50,5,5,68,1,30,7,48,3,6,82,10,91,26,36,4,21,6,55,54,5,28,24,1,1,1,1,0
335982,2008,2008-04-18,M Chinnaswamy Stadium,Bengaluru,Royal Challengers Bangalore,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,2,false,Royal Challengers Bengaluru,field,Kolkata Knight Riders,false,82,10,91,30,3,3,50,19,11,0,26,4,36,21,6,0,1,55,5,54,28,24,3,2,1,1,1,1,0,0,0,222,3,120,61,36,1,17,46,93,54,1,12,50,68,30,1,7,48
335983,2008,2008-04-19,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,Chennai Super Kings,Chennai Super Kings,Kings XI Punjab,Punjab Kings,1,true,Chennai Super Kings,bat,Chennai Super Kings,true,240,5,120,176,20,16,34,6,3,1,53,1,36,19,42,9,1,108,3,54,11,72,6,8,79,1,30,4,62,5,7,207,4,120,63,36,1,12,46,102,54,2,7,66,42,30,1,4,14
335983,2008,2008-04-19,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,Kings XI Punjab,Punjab Kings,Chennai Super Kings,Chennai Super Kings,2,false,Chennai Super Kings,bat,Chennai Super Kings,false,207,4,120,126,18,9,23,11,5,0,63,1,36,12,46,7,3,102,2,54,7,66,9,5,42,1,30,4,14,2,1,240,5,120,53,36,1,19,42,108,54,3,11,72,79,30,1,4,62
335984,2008,2008-04-19,Feroz Shah Kotla,Delhi,Rajasthan Royals,Rajasthan Royals,Delhi Daredevils,Delhi Capitals,1,true,Rajasthan Royals,bat,Delhi Capitals,false,129,8,120,74,14,3,54,7,3,0,40,2,36,20,30,6,1,56,5,54,20,24,3,2,33,1,30,14,20,5,0,132,1,91,55,36,1,18,46,73,54,0,13,28,4,1,0,0,4
335984,2008,2008-04-19,Feroz Shah Kotla,Delhi,Delhi Daredevils,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,2,false,Rajasthan Royals,bat,Delhi Capitals,true,132,1,91,78,18,1,31,10,10,0,55,1,36,18,46,10,1,73,0,54,13,28,7,0,4,0,1,0,4,1,0,129,8,120,40,36,2,20,30,56,54,5,20,24,33,30,1,14,20
335985,2008,2008-04-20,Wankhede Stadium,Mumbai,Mumbai Indians,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bengaluru,1,true,Mumbai Indians,bat,Royal Challengers Bengaluru,false,165,7,120,102,18,5,45,11,3,0,47,3,36,21,34,7,1,58,1,54,19,26,5,1,60,3,30,5,42,6,3,166,5,118,40,36,1,15,24,78,54,3,15,42,48,28,1,6,30
335985,2008,2008-04-20,Wankhede Stadium,Mumbai,Royal Challengers Bangalore,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,2,false,Mumbai Indians,bat,Royal Challengers Bengaluru,true,166,5,118,96,15,6,36,5,5,0,40,1,36,15,24,6,0,78,3,54,15,42,6,3,48,1,28,6,30,3,3,165,7,120,47,36,3,21,34,58,54,1,19,26,60,30,3,5,42
335986,2008,2008-04-20,Eden Gardens,Kolkata,Deccan Chargers,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,1,true,Deccan Chargers,bat,Kolkata Knight Riders,false,110,10,112,60,6,6,62,10,4,2,39,2,36,21,20,2,2,38,4,54,31,18,3,1,33,4,22,10,22,1,3,112,5,114,26,36,3,20,8,55,54,1,32,16,31,24,1,9,20
335986,2008,2008-04-20,Eden Gardens,Kolkata,Kolkata Knight Riders,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,2,false,Deccan Chargers,bat,Kolkata Knight Riders,true,112,5,114,44,5,4,61,28,15,1,26,3,36,20,8,2,0,55,1,54,32,16,1,2,31,1,24,9,20,2,2,110,10,112,39,36,2,21,20,38,54,4,31,18,33,22,4,10,22
335987,2008,2008-04-21,Sawai Mansingh Stadium,Jaipur,Kings XI Punjab,Punjab Kings,Rajasthan Royals,Rajasthan Royals,1,true,Punjab Kings,bat,Rajasthan Royals,false,166,8,119,114,18,7,54,4,2,1,54,1,36,21,50,8,3,61,3,53,21,30,6,1,51,4,30,12,34,4,3,168,4,109,53,36,3,21,36,89,54,1,20,62,26,19,0,6,12
335987,2008,2008-04-21,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,Rajasthan Royals,Kings XI Punjab,Punjab Kings,2,false,Punjab Kings,bat,Rajasthan Royals,true,168,4,109,110,17,7,47,12,6,4,53,3,36,21,36,6,2,89,1,54,20,62,8,5,26,0,19,6,12,3,0,166,8,119,54,36,1,21,50,61,53,3,21,30,51,30,4,12,34
335988,2008,2008-04-22,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Deccan Chargers,Deccan Chargers,Delhi Daredevils,Delhi Capitals,1,true,Deccan Chargers,bat,Delhi Capitals,false,142,8,120,84,12,6,56,5,1,1,25,2,36,26,14,2,1,48,3,54,23,20,5,0,69,3,30,7,50,5,5,143,1,78,48,36,1,14,32,95,42,0,12,64,0,0,0,0,0
335988,2008,2008-04-22,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Delhi Daredevils,Delhi Capitals,Deccan Chargers,Deccan Chargers,2,false,Deccan Chargers,bat,Delhi Capitals,true,143,1,78,96,15,6,26,12,7,0,48,1,36,14,32,8,0,95,0,42,12,64,7,6,0,0,0,0,0,0,0,142,8,120,25,36,2,26,14,48,54,3,23,20,69,30,3,7,50
335989,2008,2008-04-23,MA Chidambaram Stadium,Chennai,Chennai Super Kings,Chennai Super Kings,Mumbai Indians,Mumbai Indians,1,true,Mumbai Indians,field,Chennai Super Kings,true,208,5,120,132,24,6,37,18,9,2,53,2,36,19,38,8,1,90,1,54,12,48,6,4,65,2,30,6,46,10,1,202,7,120,52,36,2,16,34,82,54,3,14,36,68,30,2,8,54
335989,2008,2008-04-23,MA Chidambaram Stadium,Chennai,Mumbai Indians,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,2,false,Mumbai Indians,field,Chennai Super Kings,false,202,7,120,124,19,8,38,13,6,2,52,2,36,16,34,7,1,82,3,54,14,36,6,2,68,2,30,8,54,6,5,208,5,120,53,36,2,19,38,90,54,1,12,48,65,30,2,6,46
335990,2008,2008-04-24,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Deccan Chargers,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,1,true,Rajasthan Royals,field,Rajasthan Royals,false,214,5,120,150,24,9,37,6,5,1,58,2,36,19,50,11,1,90,1,54,12,52,4,6,66,2,30,6,48,9,2,217,7,119,73,36,1,14,62,86,54,2,14,56,58,29,4,6,38
335990,2008,2008-04-24,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Rajasthan Royals,Rajasthan Royals,Deccan Chargers,Deccan Chargers,2,false,Rajasthan Royals,field,Rajasthan Royals,true,217,7,119,156,18,14,34,7,2,1,73,1,36,14,62,8,5,86,2,54,14,56,5,6,58,4,29,6,38,5,3,214,5,120,58,36,2,19,50,90,54,1,12,52,66,30,2,6,48
335991,2008,2008-04-25,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,Kings XI Punjab,Punjab Kings,Mumbai Indians,Mumbai Indians,1,true,Mumbai Indians,field,Punjab Kings,true,182,10,120,102,18,5,40,7,4,1,60,1,36,15,38,8,1,78,3,54,13,38,5,3,44,6,30,12,26,5,1,116,9,120,39,36,2,20,26,62,54,5,25,38,15,30,2,24,8
335991,2008,2008-04-25,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,Mumbai Indians,Mumbai Indians,Kings XI Punjab,Punjab Kings,2,false,Mumbai Indians,field,Punjab Kings,false,116,9,120,72,12,4,69,7,4,2,39,2,36,20,26,5,1,62,5,54,25,38,5,3,15,2,30,24,8,2,0,182,10,120,60,36,1,15,38,78,54,3,13,38,44,30,6,12,26
335992,2008,2008-04-26,M Chinnaswamy Stadium,Bengaluru,Royal Challengers Bangalore,Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,1,true,Rajasthan Royals,field,Rajasthan Royals,false,135,8,120,90,12,7,64,6,3,1,57,2,36,19,50,8,3,38,5,54,32,16,1,2,40,1,30,13,24,3,2,138,3,103,45,36,2,16,32,76,54,0,20,52,17,13,1,8,16
